Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
SpielBar,Vienna,H Laudongasse/Lederergasse (13A),Bus Stop,1
SpielBar,Vienna,Cafe Daun,Coffee Shop,1
SpielBar,Vienna,Libro Alser Straße,Paper / Office Supplies Store,1
SpielBar,Vienna,H Skodagasse,Bus Stop,1
SpielBar,Vienna,Bodega 1080,Tapas Restaurant,1
SpielBar,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,1
SpielBar,Vienna,H Skodagasse,Tram Station,1
SpielBar,Vienna,cafe zeit,Dive Bar,1
SpielBar,Vienna,Urban Stay (Hotel Columbia),Hotel,1
SpielBar,Vienna,Cafe Admiral,General Entertainment,1
SpielBar,Vienna,Adolf Schärf Heim Vindabona,Residential Building (Apartment / Condo),1
SpielBar,Vienna,Humanic,Shoe Store,1
SpielBar,Vienna,Drei,Mobile Phone Shop,1
SpielBar,Vienna,Röntgenordination Dock & Mendel,Medical Lab,1
SpielBar,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,1
SpielBar,Vienna,Debakel,Other Nightlife,1
SpielBar,Vienna,bäckerei schwarz,Bakery,1
SpielBar,Vienna,Pygmalion,College Theater,1
SpielBar,Vienna,Muscheln & Mehr,Mediterranean Restaurant,1
SpielBar,Vienna,zum sussen eck,Candy Store,1
SpielBar,Vienna,Baltic,Hotel,1
SpielBar,Vienna,Würstelstand Alserstraße,Austrian Restaurant,1
SpielBar,Vienna,Chop Chop urban asian,Asian Restaurant,1
SpielBar,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,1
SpielBar,Vienna,Dr med Gertrude Reichel,Doctor's Office,1
SpielBar,Vienna,Melkerhof,Residential Building (Apartment / Condo),1
SpielBar,Vienna,Psychologische Studentenberatung,Office,1
SpielBar,Vienna,Österreichisches Museum für Volkskunde,History Museum,1
SpielBar,Vienna,Aida Café-Konditorei Wien,Café,1
SpielBar,Vienna,Antiquariat Höcher,Bookstore,1
SpielBar,Vienna,Tientien,Massage Studio,1
SpielBar,Vienna,Home of young Adolf Hitler in Vienna,Historic Site,1
SpielBar,Vienna,Hotel-Pension ARPI,Hotel,1
SpielBar,Vienna,BAWAG,Bank,1
SpielBar,Vienna,City Rooms,Hotel,1
SpielBar,Vienna,Hundezone Schönbornpark,Dog Run,1
SpielBar,Vienna,Fachärzte Kochgasse,Medical Center,1
SpielBar,Vienna,Tom Tailor,Clothing Store,1
SpielBar,Vienna,KFA Wien,Office,1
SpielBar,Vienna,Schöfmann,Restaurant,1
SpielBar,Vienna,Eduscho Alserstrasse,Café,1
SpielBar,Vienna,Kaisaki Running Sushi,Sushi Restaurant,1
SpielBar,Vienna,Triumph Lingerie,Lingerie Store,1
SpielBar,Vienna,Studentenheim Vindobona,Residential Building (Apartment / Condo),1
SpielBar,Vienna,Mahal,Indian Restaurant,1
SpielBar,Vienna,Japanische Botschaft,Government Building,1
SpielBar,Vienna,true nails,Nail Salon,1
SpielBar,Vienna,Vindobona Sauna,Hot Spring,1
SpielBar,Vienna,Marionnaud Alserstrasse,Cosmetics Shop,1
SpielBar,Vienna,Orthopädische Ordination Dr. Grestenberger,Medical Center,1
SpielBar,Vienna,Musikschulen Wien,Music School,1
SpielBar,Vienna,Wiener Würstelstand Zum Alserspitz,BBQ Joint,1
