City_name,Venue_name,Venue_cat,Venue_catID
Adana,Turan Hukuk Burosu,Lawyer,52f2ab2ebcbc57f1066b8b3f
Adana,Seyhan Belediyesi Tiyatro Salonu,Art Gallery,4bf58dd8d48988d1e2931735
Adana,Egemen Gazetesi,Coworking Space,4bf58dd8d48988d174941735
Adapazarı,Bizim Eczane,Pharmacy,4bf58dd8d48988d10f951735
Adapazarı,Yıldırım Et,Butcher,4bf58dd8d48988d11d951735
Adapazarı,Studio5 Pilates&Cardio,Pilates Studio,5744ccdfe4b0c0459246b4b2
Adapazarı,BİM Karaağaç,Big Box Store,52f2ab2ebcbc57f1066b8b42
Adapazarı,Doğa Veteriner Kliniği,Veterinarian,4d954af4a243a5684765b473
Adapazarı,Agora,Shopping Mall,4bf58dd8d48988d1fd941735
Adapazarı,Metro Turizm Karaağaç Şubesi,General Travel,4bf58dd8d48988d1f6931735
Adapazarı,StudioArt Pilates,Pilates Studio,5744ccdfe4b0c0459246b4b2
Adapazarı,Kent Park,Park,4bf58dd8d48988d163941735
Adapazarı,Can Börekçilik & Çiğ Köfte,Bakery,4bf58dd8d48988d16a941735
Adapazarı,Altunlar İnşaat,Construction & Landscaping,5454144b498ec1f095bff2f2
Adapazarı,Kuafor Nilay,Nail Salon,4f04aa0c2fb6e1c99f3db0b8
Adapazarı,Tekeler Gökkusagı Park,Park,4bf58dd8d48988d163941735
Adapazarı,Leman Kültür,Gastropub,4bf58dd8d48988d155941735
Adapazarı,Memis Ticaret,Office,4bf58dd8d48988d124941735
Adapazarı,LUFT,Bar,4bf58dd8d48988d116941735
Adapazarı,Çiğköfteci Sait,Cigkofte Place,530faca9bcbc57f1066bc2f4
Adapazarı,Adapazarı İlçe Müftülüğü,Government Building,4bf58dd8d48988d126941735
Adapazarı,Se~T Tekel,Smoke Shop,4bf58dd8d48988d123951735
Adapazarı,D-Smart Shop,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Adapazarı,Geltat Supermarket,Food Court,4bf58dd8d48988d120951735
Adapazarı,Yıldırım Piliç Yumurta San. ve Tic. Ltd. Şti.,Factory,4eb1bea83b7b6f98df247e06
Adapazarı,Uzun Çarşı Essen Avm,Big Box Store,52f2ab2ebcbc57f1066b8b42
Adapazarı,Bim Karaağaçdibi Şubesi,Outlet Store,52f2ab2ebcbc57f1066b8b35
Adapazarı,Rahatsız Cafe,Café,4bf58dd8d48988d16d941735
Adapazarı,Ali Alp Ticaret,Shopping Mall,4bf58dd8d48988d1fd941735
Adapazarı,sistem cevre,Building,4bf58dd8d48988d130941735
Adapazarı,İhsaniye Camii,Mosque,4bf58dd8d48988d138941735
Adapazarı,babaiş inşaat ltd. şti.,Fabric Shop,52f2ab2ebcbc57f1066b8b26
Adapazarı,Muhtar Bilir Emlak,Real Estate Office,5032885091d4c4b30a586d66
Adapazarı,S. Erol Çay Evi,Tea Room,4bf58dd8d48988d1dc931735
Adapazarı,Kuafor Radife,Salon / Barbershop,4bf58dd8d48988d110951735
Adapazarı,Formen style shop,Salon / Barbershop,4bf58dd8d48988d110951735
Adapazarı,E Yapı,Department Store,4bf58dd8d48988d1f6941735
Adapazarı,Hakmar Mağazacılık A.Ş,Shopping Mall,4bf58dd8d48988d1fd941735
Adapazarı,Akcanlar,Financial or Legal Service,503287a291d4c4b30a586d65
Adapazarı,Ptt - Karaağaç Şb.,Bank,4bf58dd8d48988d10a951735
Adapazarı,Eksen Teknik (Samsung),Electronics Store,4bf58dd8d48988d122951735
Adapazarı,Geltat,Grocery Store,4bf58dd8d48988d118951735
Adapazarı,Mekanın Dibi,Bar,4bf58dd8d48988d116941735
Adapazarı,Karaosman Mah. Mutarlığı,Building,4bf58dd8d48988d130941735
Adapazarı,karaagac zabita karakolu,Police Station,4bf58dd8d48988d12e941735
Adapazarı,Büyükgazi Ortaokulu,Middle School,4f4533814b9074f6e4fb0106
Adapazarı,SCK KAUCUK VE ZEMİN SİSTEMLERİ,Office,4bf58dd8d48988d124941735
Adapazarı,Köfteci Ozan,Kofte Place,5283c7b4e4b094cb91ec88db
Adapazarı,Mramor Makine Karaağaçdibi Şube,Factory,4eb1bea83b7b6f98df247e06
Adapazarı,hayal iç giyim,Lingerie Store,4bf58dd8d48988d109951735
Adapazarı,kusadasi,General Travel,4bf58dd8d48988d1f6931735
Adapazarı,BBP Adapazarı Ilçe Teşkilatı,Building,4bf58dd8d48988d130941735
Adapazarı,Dilay Mobilya,Business Service,5453de49498eade8af355881
Adapazarı,Studio5 Pilates,Pilates Studio,5744ccdfe4b0c0459246b4b2
Adapazarı,KAPLAN SOĞUTMA,Business Service,5453de49498eade8af355881
