Name,Address,City,PostalCode,Country
Tiny Ricks,449 Smithdown Road,Liverpool,L15 3JL,England
Fan Boy Three,25 Hilton St,Manchester,M1 1EL,England
Board Beans,79 Witton Street,Northwich,CW9 5DW,England
Geek Retreat Wirral,"2 Market Street, Hoylake",Wirral,CH47 3BD,England
The Gaming Den,12 London Street,Basingstoke,RG21 7NT,England
c:\ Side Quest,"11 Lower Promenade, Madiera Drive",Brighton,BN2 1ET,England
Dice Saloon,"Unit 6, Longley Industrial Estate, New England St.",Brighton,BN14GY,England
Dice Saloon,"First floor, Vantage Point, New England Road",Brighton,BN1 4GY,England
Loading Bar Brighton,"Unit 11, Lower Promenade, Madiera Drive",Brighton,BN2 1ET,England
Paradice BGC,28-30 The Mall,Bromley,BR1 1TS,England
Comics Games & Coffee,58 North Street,Chichester,PO19 1NB,England
Dice & a Slice,37 Queen Street,Colchester,CO1 2PQ,England
Dice and a Slice,37 Queen Street,Colchester,CO1 2PQ,England
The Mug & Meeple,Town Pier,Gravesend,DA11 0BJ,England
Unplug & Play,17 Jeffries Passage,Guildford,GU1 4AP,England
TRINITY Gaming cafe,"The TRINITY centre, Abinger place, Lewes, BN7 2QA",Lewes,BN7 2QA,England
Digi Diner,59 High Street,Margate,CT9 1DX,England
Geek Retreat Milton Keynes,"207 Queensway, Bletchley",Milton Keynes,MK2 2EE,England
Players Paradice,18-20 Winchester Circle,Milton Keynes ,MK10 0BA,England
Dice,"149 Albert Rd, Portsmouth, Southsea PO4 0JW",Portsmouth,PO4 0JW,England
Playopolis,2 Star Hill,Rochester,ME1 1UX,England
Board in the City CIC,38-40 Onslow Rd,Southampton,SO14 0JG,England
Comics Games & Coffee,"Unit 36, Brooks Shopping Centre",Winchester,SO23 8QY,England
Thirsty Meeples,39 Gay Street,Bath,BA1 2NT,England
Chance & Counters,20 Christmas Steps,Bristol,BS1 5BS,England
Replay Bristol Board Game Bar,196 Cheltenham Rd,Bristol,BS6 5RB,England
Board,79 South Street,Exeter,EX1 1EQ,England
Dice & a Slice,87 High St,Ilfracombe,EX34 9NH,England
Twist,43 Mayflower Street,Plymouth,PL1 1QL,England
Chance & Counters,Custard Factory,Birmingham,B9 4AA,England
Geek Retreat Birmingham,38 The Priory Queensway,Birmingham,B4 7LA,England
Meeple Mayhem,226 Monument Road,Birmingham,b16 9AG,England
Sliced N Diced,850 Bristol Road ,Birmingham,B29 6HW,England
Snax & Ladders Board Game Cafe,41 Watford Rd,Birmingham,B30 1JB,England
Dice Box BGC,137 Regent St,Leamington Spa,CV32 4NX,England
The Dell House,2 Green Lane,Malvern,WR14 4HU,England
Manaflux,Unit 19A  High St The Roebuck Center,Newcastle-under-Lyme,ST5 1SW,England
"Nerdy Coffee Company in Shrewsbury, UK",49 Mardol,Shrewsbury,SY1 1PP,England
Arcane,129 Salop street,Wolverhampton,WV3 0rx,England
Geek Retreat Bradford,23 Bank Street,Bradford,BD1 1PU,England
"Bake, Battle & Roll",24-26 Wood Street,Doncaster,DN1 3LW,England
IQ Gaming,23 Byram Street,Huddersfield,HD1 1DR,England
The People's Meeple,101 New Street,Huddersfield,HD1 2tw,England
The Board Room,135 Newland Ave,Hull,HU5 2ES,England
Geek Retreat Leeds,"Central Arcade, Central Road",Leeds,LS1 6DX,England
TAU Gaming Ltd,36 Victoria Road,Scarborough,YO11 1SD,England
The Treehouse Board Game Cafe,41 Boston Street,Sheffield,S2 4QF,England
Random Encounter,9 Gillygate,York,YO31 7EA,England
RanSacked Board Game Lounge and Escape Rooms,24-26 Portland Road ,Worthing,BN11 1QN,England
Cafe Boardgame,Eerikinkatu 14,Helsinki,00100,Finland
Lautapelikahvila Taverna,Rautatienkatu 10,Tampere,33100,Finland
Baraka Jeux - Clermont-Ferrand,11 Rue Saint-Adjutor,Clermont-Ferrand,63000,France
La Tete dans le Pion,30 Rue des Petits gras,Clermont-Ferrand,63000,France
Archi-Jeux,10 rue Archinard,Crest,26400,France
K fee des jeux,1 quai Stephane Jay,Grenoble,38000,France
Barnade,49 rue de l'abondance 69003 Lyon,Lyon,69003,France
"Moi j'm'en fous, je triche",8 rue René Leynaud,Lyon,69001,France
Game of trolls,8 rue de Paris,Moulins,3000,France
Shrubbery,17 Rue d'Inkermann,Villeurbanne,69100,France
Le De Masque,55 Rue Monge,Dijon,21000,France
Auberge des VoyaJoueurs,Rue du chaperon rouge,Monteneuf,56380,France
L'Heure du Jeu - Champs Libres,11 boulevard Magenta,Rennes,35000,France
Bonne Pioche,92 Quai du Châtelet,Orléans,45000,France
"L'Aliane, Café Boutiquo-Jeux",13 Rue de la Cigogne,Colmar,68000,France
La Feinte de l'Ours,2 avenue du General Leclerc,Nancy,54000,France
Dé Zinc,1 Avenue Georges Clemenceau,Saint-Avold,57500,France
Baraka Jeux,6 Place de l'Homme de Fer,Strasbourg,67000,France
Les Tricheurs - Bar à jeux,7 rue des serruriers,Strasbourg,67000,France
Philibar,15 Rue du Marais Vert,Strasbourg,67000,France
Schluck N'Spiel, 5 Rue de la Chaîne,Strasbourg,67000,France
Aux Dés Calés,181 Rue Legendre,Paris,75017,France
Café Meisia,84 Rue René Boulanger,Paris,75010,France
Café Oya,25 rue de la Reine Blanche,Paris,75013,France
Le Dernier Bar avant la Fin du Monde,19 Avenue Victoria,Paris,75001,France
Le Nid Cocon Ludique,"227, rue Saint-Martin",Paris,75003,France
Loufoque,57 rue Galande,Paris,75005,France
Meeple Café,33 rue d'Alleray,Paris,75015,France
The Good Game,78 rue de Clery,Paris,75002,France
La Tartine Ludique,4 rue Pierre Curie,Sainte Genevieve des Bois,91170,France
Le QG des Avenjoueurs Bar à Jeux à Rouen,18 rue des Fossés Louis VIII,Rouen,76000,France
Cup n'dice,22 rue Sainte-Marie,Angouleme,16000,France
Le Gros Corbeau,2 Place du Palet,Angouleme,16000,France
El Joko,78 Avenue Maréchal Soult,Bayonne,64100,France
