,Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
343,La Table Food & Games,Brussels,Cirque Royal / Koninklijk Circus (Koninklijk Circus),Concert Hall,1
344,La Table Food & Games,Brussels,Chez Max,Bar,1
345,La Table Food & Games,Brussels,La table food and games,Burger Joint,1
346,La Table Food & Games,Brussels,Le Bier Circus,Belgian Restaurant,1
347,La Table Food & Games,Brussels,Baraka't,Halal Restaurant,1
348,La Table Food & Games,Brussels,My Little Cup,Coffee Shop,1
349,La Table Food & Games,Brussels,Brussels-North Railway Station (Station Brussel-Noord) (Station Brussel-Noord),Train Station,1
350,La Table Food & Games,Brussels,Citron Vert,Thai Restaurant,1
351,La Table Food & Games,Brussels,Starbucks,Coffee Shop,1
352,La Table Food & Games,Brussels,Orde Van Vlaamse Balies,Non-Profit,1
353,La Table Food & Games,Brussels,Johan,Butcher,1
354,La Table Food & Games,Brussels,Privacycommissie,Government Building,1
355,La Table Food & Games,Brussels,ACOD Congresstraat,Conference Room,1
356,La Table Food & Games,Brussels,Carnegie Europe,Non-Profit,1
357,La Table Food & Games,Brussels,European Civic Forum,Building,1
358,La Table Food & Games,Brussels,Pho Express,Noodle House,1
359,La Table Food & Games,Brussels,Argo,Café,1
360,La Table Food & Games,Brussels,Den Talurelekker,Belgian Restaurant,1
361,La Table Food & Games,Brussels,Titanic,Brasserie,1
362,La Table Food & Games,Brussels,Place de la Liberté / Vrijheidsplein (Vrijheidsplein),Plaza,1
363,La Table Food & Games,Brussels,Madou's Provence,Mediterranean Restaurant,1
364,La Table Food & Games,Brussels,Le Parterre,Concert Hall,1
365,La Table Food & Games,Brussels,babel,Coffee Shop,1
366,La Table Food & Games,Brussels,StepStone,Office,1
367,La Table Food & Games,Brussels,N-VA Partijsecretariaat,Office,1
368,La Table Food & Games,Brussels,Artipasta,Italian Restaurant,1
369,La Table Food & Games,Brussels,Fantastico,Italian Restaurant,1
370,La Table Food & Games,Brussels,L’Enfant Sauvage,Art Gallery,1
371,La Table Food & Games,Brussels,Al Solito Posto,Italian Restaurant,1
372,La Table Food & Games,Brussels,Ombudsdienst voor Energie,Government Building,1
373,La Table Food & Games,Brussels,Congrès Dachsbeck,Elementary School,1
374,La Table Food & Games,Brussels,Bonjour Colette,Restaurant,1
375,La Table Food & Games,Brussels,Paul Tucker Personal Training,Gym / Fitness Center,1
376,La Table Food & Games,Brussels,Acod Brussel,Building,1
377,La Table Food & Games,Brussels,Local 105,College Classroom,1
378,La Table Food & Games,Brussels,La Bottega,Italian Restaurant,1
379,La Table Food & Games,Brussels,Salle du Conseil (Université Saint-Louis),College Administrative Building,1
380,La Table Food & Games,Brussels,Wine Shack,Wine Bar,1
381,Outpost Brussels,Brussels,Le Bier Circus,Belgian Restaurant,1
382,Outpost Brussels,Brussels,Baraka't,Halal Restaurant,1
383,Outpost Brussels,Brussels,My Little Cup,Coffee Shop,1
384,Outpost Brussels,Brussels,Carrefour Express,Convenience Store,1
385,Outpost Brussels,Brussels,Brussels-North Railway Station (Station Brussel-Noord) (Station Brussel-Noord),Train Station,1
386,Outpost Brussels,Brussels,La table food and games,Burger Joint,1
387,Outpost Brussels,Brussels,Orde Van Vlaamse Balies,Non-Profit,1
388,Outpost Brussels,Brussels,Johan,Butcher,1
389,Outpost Brussels,Brussels,Privacycommissie,Government Building,1
390,Outpost Brussels,Brussels,Argo,Café,1
391,Outpost Brussels,Brussels,Pho Express,Noodle House,1
392,Outpost Brussels,Brussels,Den Talurelekker,Belgian Restaurant,1
393,Outpost Brussels,Brussels,Titanic,Brasserie,1
