,City_name,Venue_name,Venue_cat,Venue_catID
1061,Barnsley,Post Office,Post Office,4bf58dd8d48988d172941735
1062,Barnsley,Cancer Research UK,Thrift / Vintage Store,4bf58dd8d48988d101951735
1063,Barnsley,The Victorian Arcade,Shopping Plaza,5744ccdfe4b0c0459246b4dc
1064,Barnsley,Sense,Thrift / Vintage Store,4bf58dd8d48988d101951735
1065,Barnsley,DejaVu Nightclub,Nightclub,4bf58dd8d48988d11f941735
1066,Barnsley,Alhambra Centre,Shopping Mall,4bf58dd8d48988d1fd941735
1067,Barnsley,Chennells,Bar,4bf58dd8d48988d116941735
1068,Barnsley,Rspca,Thrift / Vintage Store,4bf58dd8d48988d101951735
1069,Barnsley,{my}dentist,Dentist's Office,4bf58dd8d48988d178941735
1070,Barnsley,Favela,Brazilian Restaurant,4bf58dd8d48988d16b941735
1071,Barnsley,Whitegates,Real Estate Office,5032885091d4c4b30a586d66
1072,Barnsley,Soul Lounge,Bar,4bf58dd8d48988d116941735
1073,Barnsley,Hill 16,Bar,4bf58dd8d48988d116941735
1074,Barnsley,Yorkshire Bank,Bank,4bf58dd8d48988d10a951735
1075,Barnsley,Temple Of Muses,Bar,4bf58dd8d48988d116941735
1076,Barnsley,Greggs,Bakery,4bf58dd8d48988d16a941735
1077,Barnsley,Royal Mail Post Office,Department Store,4bf58dd8d48988d1f6941735
1078,Barnsley,Centenary Square,Park,4bf58dd8d48988d163941735
1079,Barnsley,NatWest,Bank,4bf58dd8d48988d10a951735
1080,Barnsley,William H Brown Barnsley,Real Estate Office,5032885091d4c4b30a586d66
1081,Barnsley,Bluu Bar,Bar,4bf58dd8d48988d116941735
1082,Barnsley,Che bar,Bar,4bf58dd8d48988d116941735
1083,Barnsley,Quazimodos,Bar,4bf58dd8d48988d116941735
1084,Barnsley,EVOO The Barzzeria,Pizza Place,4bf58dd8d48988d1ca941735
