Name,Address,City,PostalCode,Country,Latitude,Longitude
Gaststätte Zu den vier Winden,Hofsteder Str. 94,Bochum,44809,Germany,51.49431695,7.208425913999901
Voyager - Boardgame Bar Bonn,Rheingasse 7,Bonn,53113,Germany,50.7359632,7.1055034
Gastspielhaus,Heinheimer Straße 53,Darmstadt,64289,Germany,49.8810279,8.6608289
Barneby,Görlitzer Str. 11,Dresden,01099,Germany,51.0671133,13.7541456
White Rabbit ,Segerothstraße 81,Essen,45141,Germany,51.4631493,7.002473
Spielezeitcafe,Angelburger Straße 49,Flensburg,24937,Germany,54.78293825,9.440333007340719
FreiSpiel,Lehener Straße 15,Freiburg,79106,Germany,47.9999478,7.8408608
Spielcafe Deichhaus Game Café,Blankwasserweg 118,Grömitz,23743,Germany,54.1502378,10.9722312
Wurfel & Zucker,Eilbeker Weg 39,Hamburg,22089,Germany,53.5690026,10.0435255
Rollen - und Brettspielverein Thoule,Ostendstraße 1,Karlsruhe,76131,Germany,49.0082093,8.4192057
ZAMgwurfelt - the board game cafe,Helene-Mayer-Ring 14,Munich,80809,Germany,48.1821388,11.5528975
Spielcafé Osnabrett,Dielingerstraße 40,Osnabrück,49074,Germany,52.2752428,8.0422041
Spielecafé der Generationen,Kolpingstr. 14,Pfarrkirchen,84347,Germany,48.433832100000004,12.93659841948741
Playhouse,Valtetsiou 49,Athens,106 81,Greece,37.9849641,23.7361744
Κάισσα Cafe,"Μεσογείων 12, Αμπελόκηποι",Athens,11527,Greece,37.9852092,23.7616774
Playce,Λογοθετίδη Βασίλη 14,Athens,115 24,Greece,37.9941887,23.7637607
Playhouse,Sakellariou 21,Ioannina,453 33,Greece,39.6647962,20.8471
Playhouse,Poulidou 6,Kavala,65302,Greece,40.9354775,24.4135722
Playhouse,Panagouli 16,Larisa,41221,Greece,39.6376835,22.4191384
This HOUSE RULES,Δημητριου Ράλλη 4,Marousi,151 24,Greece,38.0519424,23.8059691
Playhouse,Riga Fereou 127,Patra,262 21,Greece,38.2497687,21.7376407
Back 2 Games,Γεωργίου Παπανδρέου 27,Thessaloniki,54645,Greece,40.599443050000005,22.95188272782091
Harry's Spot Cafe,Aggelaki 8,Thessaloniki,54621,Greece,40.657257,22.9108516
Playhouse,Βασιλίσσης Σοφίας,Xanthi,671 00,Greece,41.1418797,24.8874496
BarCraft Buda,Bartók Béla út 18,Budapest,1111,Hungary,47.4815644,19.0526799
BarCraft Nyugati,Bajcsy Zsilinszky  ut 59,Budapest,1065,Hungary,47.5087297,19.0553055
Board Game Cafe Budapest,Ferenc körút 17,Budapest,1094,Hungary,47.4823373,19.0688556
Pub Game Up!,Zichy Jenő u. 4,Budapest,1066,Hungary,47.5035126,19.0558325
Vault 51 Gamer Bar,Ó u. 51,Budapest,1066,Hungary,47.5057503,19.0605778
BarCraft Debrecen,Piac u. 26 a,Debrecen,4024,Hungary,47.5260785,21.6265773
Spilavinir,Suðurlandsbraut 48,Reykjavík,108,Iceland,64.130927,-21.8664744
Tabletop,9 High Street,Cork,P75 XW35,Ireland,51.6792756,-9.4504596
The Clockwork Door,51 Wellington Quay,Dublin,D02 NH04,Ireland,53.3459765,-6.2626275
The Square Ball,45 Hogan Place,Dublin,D02 FP40,Ireland,53.340843,-6.244782
Dungeons and Donuts Galway,21 Upper Abbeygate Street,Galway,H91 Y90F,Ireland,53.2737803,-9.0531045
Il Respiro del Drago,Via Giuseppe Toniolo 12,Carrara,54033,Italy,44.0494181,10.0596818
La città del gioco,"Via delle Forze Armate, 103",Milan,20147,Italy,45.4629869,9.1273542
Ludos libra,"Via Michelangelo Buonarroti, 72",Monza,20900,Italy,45.573241249999995,9.283082516066784
Goblin Café,"Via del Borghetto, 31",Pisa,56124,Italy,43.7121827,10.4109871
Go to Play Board Game Bar & Cafe,VIA PRINCIPE EUGENIO 112,Rome,00185,Italy,41.8942843,12.5065115
